Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-1.55905843790549E-09,8.35996216697055E-10,0.227427844138389,0,0,0,13.4118986785811,0.138795528767983,6.1031384950179E-09,-2.54609804268592E-10,0.057261428895309,5.70138502164683E-10,0.191099141268272,0,0,0,0,0,0,package://urdf_assem_final/meshes/base_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://urdf_assem_final/meshes/base_link.STL,,robo_body_urdf-1,base_link,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
wheel_l_link,2.2384368820183E-06,-0.00167135697643017,1.60704017726498E-06,0,0,0,4.80902409600041,0.0226570934119946,-8.36535029894673E-08,-3.53132034618592E-09,0.0333153287221764,-5.9900188467449E-08,0.0226570945548089,0,0,0,0,0,0,package://urdf_assem_final/meshes/wheel_l_link.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://urdf_assem_final/meshes/wheel_l_link.STL,,wheel_body_urdf-1;Wheel_rim_urdf-1,lw_link,l_axis,l_joint,continuous,0,-0.24448,0.00035754,0,0.16066,0,base_link,0,-1,0,,,,,,,,,,,,
wheel_r_Link,-2.7412767007462E-06,0.00244295553961049,2.80321530321537E-07,0,0,0,4.80902409600043,0.0226570906467723,-1.02367159462644E-07,1.28981896897648E-09,0.0333153287221767,1.03396899017987E-08,0.0226570973200315,0,0,0,0,0,0,package://urdf_assem_final/meshes/wheel_r_Link.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://urdf_assem_final/meshes/wheel_r_Link.STL,,wheel_body_urdf-2;Wheel_rim_urdf-2,rw_link,r_axis,r_joint,continuous,0,0.24348,0.00035754,0,0.16066,0,base_link,0,1,0,,,,,,,,,,,,
lidar_real_Link,0.0119831298968675,0.000257383050308535,0.00148462283570416,0,0,0,1.45459502470387,0.00125076189791548,-1.98466416096909E-05,-0.000186492107347762,0.00216267675002536,-2.53727203492436E-06,0.00257032328598136,0,0,0,0,0,0,package://urdf_assem_final/meshes/lidar_real_Link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://urdf_assem_final/meshes/lidar_real_Link.STL,,lidar_urdf-1,lidar_link,lidar_axis,lidar_joint,continuous,-0.002469,-5.2666E-05,0.38249,0,0.16066,0,base_link,-0.15997,0,0.98712,,,,,,,,,,,,
